plot_id,date,n_pixels,valid_frac,NDVI,EVI,SAVI,NDRE,NDWI
P001,2023-02-11,78,1.0,0.122,0.1225,0.1318,0.0637,-0.0451
P001,2023-02-16,110,0.9308780431332351,0.1495,0.1198,0.1654,0.0565,-0.039
P001,2023-02-21,61,0.6705840858950889,0.1283,0.1003,0.1466,0.0495,-0.0467
P001,2023-03-08,110,1.0,0.2289,0.1828,0.2595,0.13,-0.0399
P001,2023-03-13,108,0.7132083231086835,0.3034,0.2656,0.3532,0.1623,-0.0772
P001,2023-04-12,90,0.7733143991502699,0.7652,0.6539,0.8805,0.4208,-0.1985
P001,2023-05-07,100,0.8078769828834751,0.8019,0.674,0.9111,0.4554,-0.1979
P001,2023-05-12,101,0.8891157722337271,0.7953,0.6805,0.9034,0.4317,-0.1962
P001,2023-05-17,65,0.7061743221294667,0.7343,0.6232,0.842,0.4057,-0.1689
P001,2023-05-22,107,0.7764768632058671,0.701,0.5988,0.8025,0.3645,-0.172
P001,2023-06-01,83,0.8795742020547282,0.5477,0.4623,0.6293,0.2886,-0.1403
P001,2023-06-06,100,1.0,0.4736,0.4144,0.5491,0.2814,-0.114
P001,2023-06-11,114,0.7055143569697937,0.3806,0.3242,0.4308,0.2212,-0.1069
P001,2023-06-16,90,0.7605596281844995,0.3148,0.2793,0.3695,0.195,-0.0714
P001,2023-06-21,111,0.7399570240652699,0.2382,0.1907,0.2687,0.1491,-0.0532
P001,2023-06-26,115,0.7549173139314391,0.1895,0.1489,0.2112,0.108,-0.0358
P001,2023-07-01,116,0.406306573710285,0.1666,0.1447,0.1923,0.0966,-0.0255
P001,2023-07-06,68,0.8386359484190032,0.1536,0.1148,0.1914,0.0889,-0.0299
P001,2023-07-11,115,0.8720645534949316,0.1411,0.1306,0.1646,0.0804,-0.0326
P001,2024-02-06,111,0.6442990105695177,0.1184,0.0989,0.1382,0.075,-0.0335
P001,2024-02-11,61,0.7101241812126932,0.1386,0.1166,0.1676,0.0523,-0.0476
P001,2024-02-21,74,0.8624150849591611,0.1737,0.1448,0.2017,0.1086,-0.0301
P001,2024-03-12,63,0.9530378834354096,0.4912,0.4185,0.5566,0.2631,-0.1376
P001,2024-03-27,91,0.5426727726934439,0.7588,0.6489,0.8622,0.423,-0.191
P001,2024-04-01,118,0.8892445487352727,0.7965,0.671,0.9106,0.4252,-0.2057
P001,2024-04-06,75,0.7992993003423722,0.8421,0.7194,0.9817,0.4591,-0.2253
P001,2024-04-11,98,0.7002767741854118,0.8249,0.7123,0.9524,0.4521,-0.2027
P001,2024-04-16,67,0.7604071702699168,0.809,0.6893,0.9411,0.4348,-0.1989
P001,2024-04-21,67,0.797086231718633,0.8527,0.7164,0.9647,0.4441,-0.2243
P001,2024-05-01,88,0.9158990054860947,0.8206,0.6879,0.9471,0.4464,-0.208
P001,2024-05-06,88,0.8428756675463089,0.818,0.6919,0.9514,0.4362,-0.2044
P001,2024-05-11,117,0.964982175990926,0.7562,0.6437,0.8754,0.4152,-0.1907
P001,2024-05-16,90,0.8145452038436329,0.72,0.6035,0.8347,0.409,-0.1763
P001,2024-05-26,89,0.8903320688197724,0.5948,0.4872,0.6806,0.3032,-0.1636
P001,2024-05-31,70,0.8842777472957529,0.5228,0.4372,0.5862,0.252,-0.1361
P001,2024-06-05,86,0.6660641570925766,0.4331,0.3728,0.4825,0.2347,-0.1073
P001,2024-06-20,106,0.8502489027161996,0.1939,0.158,0.232,0.1262,-0.0582
P001,2024-06-25,108,0.7212984019957409,0.1859,0.172,0.2093,0.1197,-0.0452
P001,2024-06-30,119,0.9847077032504856,0.1553,0.1284,0.1692,0.0801,-0.0343
P001,2024-07-15,119,0.3908609542649293,0.1312,0.1037,0.134,0.0623,-0.0303
P002,2022-02-01,95,0.7059331619771805,0.1312,0.1008,0.1581,0.0962,-0.0446
P002,2022-02-06,117,0.9916674222749431,0.133,0.1008,0.1554,0.095,-0.0498
P002,2022-02-16,99,0.6719117380716884,0.1431,0.1297,0.167,0.0574,-0.0306
P002,2022-02-21,98,0.655861869534462,0.1529,0.1236,0.1813,0.0933,-0.0337
P002,2022-02-26,65,0.8307051659892377,0.1962,0.1564,0.228,0.0908,-0.0446
P002,2022-03-03,104,0.8570730204723599,0.2081,0.1793,0.2332,0.1319,-0.0564
P002,2022-03-13,104,0.657050109880708,0.3416,0.2951,0.3876,0.183,-0.0718
P002,2022-03-23,91,1.0,0.5469,0.4608,0.6096,0.2971,-0.1396
P002,2022-03-28,80,0.5829917937117228,0.6467,0.5554,0.7489,0.3377,-0.1547
P002,2022-04-02,98,0.6994012256897241,0.7284,0.6178,0.8439,0.3799,-0.1805
P002,2022-04-07,77,1.0,0.781,0.6621,0.9148,0.4163,-0.1894
P002,2022-04-17,117,0.9318778255247401,0.8106,0.6858,0.9153,0.4456,-0.2117
P002,2022-04-27,98,0.49415216759767244,0.8304,0.6897,0.9598,0.4504,-0.2332
P002,2022-05-02,97,0.6429187763945274,0.8088,0.6743,0.9385,0.449,-0.1784
P002,2022-05-07,99,0.8081554711893022,0.7827,0.6636,0.9083,0.438,-0.1832
P002,2022-05-12,75,0.6748732545846082,0.7648,0.6457,0.8747,0.4301,-0.1762
P002,2022-05-17,108,0.6862839408310363,0.7128,0.609,0.8173,0.4035,-0.2007
P002,2022-06-11,75,0.9169448837490395,0.3104,0.2613,0.3466,0.17,-0.0671
P002,2022-06-16,90,0.6134137674117828,0.2295,0.2006,0.2617,0.134,-0.0575
P002,2022-06-26,69,0.7183964978455265,0.1874,0.1472,0.1999,0.1113,-0.0504
P002,2022-07-01,60,0.7355731594615001,0.1497,0.1385,0.1494,0.0644,-0.0467
P002,2022-07-11,74,0.5789758621310654,0.1035,0.0768,0.1235,0.0576,-0.0204
P002,2023-02-01,115,0.9538830900443418,0.1317,0.1145,0.165,0.0726,-0.0309
P002,2023-02-06,63,0.7590578892636626,0.1043,0.0756,0.1194,0.0564,-0.0081
P002,2023-02-11,70,0.7517168158637199,0.0997,0.0873,0.1152,0.0524,-0.0358
P002,2023-02-26,67,0.8086896989899852,0.1465,0.1067,0.1673,0.0925,-0.026
P002,2023-03-03,77,0.755836981035219,0.1653,0.1321,0.1793,0.0951,-0.0375
P002,2023-03-08,105,0.7301657015203242,0.2355,0.1878,0.2677,0.1322,-0.0609
P002,2023-03-13,94,0.7879327222454848,0.3152,0.2629,0.3562,0.1771,-0.0828
P002,2023-03-18,88,0.5790856498362638,0.4181,0.3506,0.4952,0.216,-0.1257
P002,2023-03-23,68,0.7543664919865004,0.508,0.4321,0.5831,0.294,-0.1537
P002,2023-03-28,116,0.5808328852662429,0.598,0.5045,0.6802,0.3182,-0.1528
P002,2023-04-07,94,0.6996091162439778,0.7407,0.6487,0.8522,0.4285,-0.1861
P002,2023-04-12,97,1.0,0.7721,0.6648,0.8808,0.4363,-0.1966
P002,2023-04-17,79,0.8862902039838166,0.7823,0.6652,0.9024,0.4304,-0.1922
P002,2023-04-22,62,0.8499859002914301,0.8261,0.6923,0.9356,0.4536,-0.2057
P002,2023-05-12,80,0.6622688797600499,0.7427,0.6308,0.8569,0.3964,-0.1784
P002,2023-05-17,100,0.45621128394044536,0.6899,0.5863,0.7912,0.3782,-0.1728
P002,2023-05-22,89,0.892147441477245,0.6203,0.5162,0.7016,0.3281,-0.1522
P002,2023-05-27,73,0.3747450233760518,0.5483,0.449,0.6222,0.2949,-0.1412
P002,2023-06-11,93,0.6485974041477947,0.2955,0.2426,0.3446,0.1441,-0.07
P002,2023-06-16,61,0.9882414160723894,0.2363,0.1946,0.2924,0.1273,-0.0718
P002,2023-06-26,106,0.637236622827975,0.1669,0.1458,0.1974,0.0843,-0.0318
P002,2023-07-01,94,0.6055622454349967,0.1419,0.1259,0.1768,0.0555,-0.0386
P002,2023-07-06,112,0.7678838791691088,0.1222,0.0982,0.1389,0.0898,-0.0323
P002,2023-07-11,109,0.761356993193525,0.151,0.1284,0.1781,0.097,-0.0213
P002,2024-02-01,86,0.842522129953467,0.1352,0.105,0.1451,0.0876,-0.0379
P002,2024-02-06,64,0.819505470904903,0.1376,0.1016,0.1605,0.0845,-0.0306
P002,2024-02-16,88,0.7996560232494293,0.1539,0.1278,0.1722,0.0951,-0.0237
P002,2024-02-21,104,0.7335398727554725,0.1672,0.1457,0.2,0.0934,-0.0405
P002,2024-02-26,104,0.7411076030961101,0.2063,0.1681,0.2331,0.1211,-0.0515
P002,2024-03-07,67,0.8634372245444709,0.3095,0.2669,0.3436,0.1875,-0.0824
P002,2024-03-12,99,0.5932434435620546,0.4131,0.3409,0.4756,0.2239,-0.1066
P002,2024-03-22,114,0.8114742685993039,0.6211,0.5341,0.6932,0.3372,-0.1771
P002,2024-04-01,114,0.906829841218452,0.7322,0.6342,0.844,0.3967,-0.1782
P002,2024-04-06,102,0.8979204475441152,0.7934,0.6688,0.9204,0.4445,-0.2079
P002,2024-04-11,112,0.8547849518057258,0.8138,0.6928,0.9283,0.4373,-0.2088
P002,2024-04-16,78,0.8156268372929805,0.8043,0.6712,0.9228,0.4437,-0.1766
P002,2024-04-21,110,0.97080218497352,0.8129,0.6925,0.9389,0.4485,-0.1988
P002,2024-04-26,77,0.6815293283662917,0.8357,0.7216,0.9546,0.4589,-0.2196
P002,2024-05-01,73,0.9667688935389801,0.8057,0.6841,0.9246,0.4298,-0.2037
P002,2024-05-06,77,0.7840179069163703,0.8239,0.7135,0.9756,0.4461,-0.1916
P002,2024-05-21,71,0.7592874725519939,0.7046,0.6,0.8062,0.3708,-0.1916
P002,2024-05-31,90,0.751275844008473,0.5211,0.4509,0.6011,0.2787,-0.118
P002,2024-06-10,93,0.8960495267016135,0.3582,0.3169,0.4232,0.2044,-0.0836
P002,2024-06-15,105,0.8551084735289378,0.27,0.216,0.3026,0.1642,-0.0591
P002,2024-06-20,81,0.7092488424469061,0.228,0.1823,0.2598,0.1266,-0.0562
P002,2024-07-05,76,0.817547591706572,0.1486,0.1263,0.1634,0.0789,-0.039
P002,2024-07-10,64,1.0,0.1339,0.1129,0.1516,0.0485,-0.0424
P002,2024-07-15,87,0.9572561390066695,0.1293,0.1083,0.1616,0.0719,-0.032
P003,2022-02-01,109,0.7722940642954246,0.1182,0.1041,0.1401,0.0492,-0.021
P003,2022-02-06,110,0.748404198507271,0.1287,0.0957,0.1449,0.0752,-0.0261
P003,2022-02-11,63,0.9797668335901579,0.1437,0.1323,0.1627,0.0881,-0.0166
P003,2022-02-16,87,0.6110200333264274,0.1534,0.1452,0.1658,0.0685,-0.0432
P003,2022-03-03,71,0.6488681307413237,0.2731,0.225,0.3053,0.1776,-0.0653
P003,2022-03-08,85,0.7221064984220926,0.3436,0.285,0.3687,0.1725,-0.104
P003,2022-03-13,72,0.5706961538552846,0.4547,0.3998,0.5225,0.2656,-0.1096
P003,2022-03-18,86,0.8285926431289006,0.5553,0.4793,0.6329,0.3122,-0.1332
P003,2022-03-28,62,0.5723807502152591,0.7337,0.6245,0.8471,0.394,-0.1832
P003,2022-04-02,73,0.9827820180183733,0.7777,0.6738,0.8843,0.4479,-0.1997
P003,2022-04-07,71,0.7601979939076633,0.8078,0.6825,0.9109,0.4422,-0.2176
P003,2022-04-12,118,0.6304633516054965,0.8435,0.72,0.9627,0.4564,-0.2031
P003,2022-04-17,94,1.0,0.8056,0.68,0.9365,0.4443,-0.1935
P003,2022-04-22,105,0.7326751681051598,0.8215,0.6899,0.9514,0.4596,-0.1994
P003,2022-05-02,105,0.6937582965226297,0.8282,0.7077,0.9462,0.4558,-0.213
P003,2022-05-07,114,0.7172956307843367,0.8193,0.7083,0.9205,0.4264,-0.1969
P003,2022-05-17,93,0.5510405845022177,0.7664,0.6512,0.9014,0.4314,-0.1899
P003,2022-05-27,68,0.7886460631381741,0.7103,0.6122,0.8011,0.3827,-0.1892
P003,2022-06-01,89,0.758022244023285,0.6284,0.5133,0.7288,0.3547,-0.1596
P003,2022-06-06,103,0.9349352901154044,0.5148,0.4098,0.5886,0.269,-0.1207
P003,2022-06-11,96,0.8105931031103417,0.4244,0.3664,0.5064,0.231,-0.1023
P003,2022-06-16,86,0.6359236727892953,0.3307,0.2755,0.3801,0.1631,-0.0804
P003,2022-06-21,101,0.7939400735245937,0.2519,0.1983,0.2885,0.1475,-0.0818
P003,2022-07-01,71,0.8117957373190131,0.1738,0.1663,0.2045,0.1035,-0.0163
P003,2022-07-06,84,0.6303175854572257,0.1603,0.1405,0.1888,0.0819,-0.0504
P003,2022-07-11,99,0.6401571927896886,0.1264,0.1166,0.1443,0.0665,-0.026
P003,2023-02-01,62,0.6126264784055343,0.1351,0.1082,0.1702,0.0678,-0.0292
P003,2023-02-11,109,0.7226250236024607,0.1448,0.1288,0.1524,0.0938,-0.0394
P003,2023-03-03,73,0.7883860275156335,0.3759,0.326,0.4322,0.2129,-0.0982
P003,2023-03-08,99,0.9391405985344476,0.4554,0.4008,0.5152,0.2772,-0.1039
P003,2023-03-13,111,0.7542033280538815,0.6048,0.5119,0.6934,0.3373,-0.1372
P003,2023-03-18,70,0.8736640593577469,0.6956,0.6005,0.8065,0.3915,-0.1766
P003,2023-04-02,100,0.7855422917318925,0.8844,0.7509,1.0126,0.4509,-0.2336
P003,2023-04-07,115,0.8040887516485262,0.9022,0.7529,1.0519,0.4945,-0.2226
P003,2023-04-12,85,0.9774660150884106,0.908,0.7688,1.0383,0.4955,-0.2219
P003,2023-04-17,104,0.9700771876063563,0.8812,0.7479,1.0364,0.4858,-0.2024
P003,2023-04-22,106,0.8944440859874172,0.907,0.7637,1.0346,0.5044,-0.2169
P003,2023-04-27,62,0.5459612450566009,0.8944,0.746,1.0109,0.4932,-0.2124
P003,2023-05-02,104,0.41093778639932216,0.8562,0.7259,0.983,0.4961,-0.2286
P003,2023-05-22,71,0.7994915307985897,0.6955,0.5989,0.7917,0.393,-0.1876
P003,2023-06-06,112,0.746597208701153,0.425,0.355,0.478,0.2295,-0.1173
P003,2023-06-11,94,0.8567965534486577,0.2911,0.2356,0.3291,0.1526,-0.0595
P003,2023-06-21,104,0.8248079161604585,0.2084,0.156,0.2392,0.1386,-0.0508
P003,2023-07-01,102,0.45037999606652107,0.1569,0.1166,0.1826,0.0777,-0.0261
P003,2023-07-06,78,0.45982038964303235,0.1571,0.1208,0.1532,0.0836,-0.0412
P003,2023-07-11,81,0.9297779754775041,0.1205,0.1007,0.1172,0.0737,-0.0246
P003,2024-02-01,87,0.753769306682405,0.1125,0.0934,0.1328,0.0617,-0.0427
P003,2024-02-16,81,0.8018589869702369,0.1323,0.1243,0.1506,0.0793,-0.0401
P003,2024-02-21,119,0.5068629722537773,0.1798,0.1294,0.2162,0.0871,-0.0495
P003,2024-02-26,104,0.7239243449858076,0.1892,0.1535,0.2214,0.1095,-0.0441
P003,2024-03-02,111,0.986665230739783,0.2519,0.2034,0.2891,0.1521,-0.0503
P003,2024-03-17,74,0.7792894547219659,0.534,0.4517,0.6103,0.2972,-0.136
P003,2024-04-01,77,0.8298194060822157,0.7459,0.6631,0.84,0.4141,-0.1941
P003,2024-04-11,86,0.9263259864763169,0.8172,0.6965,0.9511,0.4213,-0.1884
P003,2024-04-21,106,0.5670186382737717,0.8218,0.6902,0.9465,0.4518,-0.2026
P003,2024-04-26,66,0.8960728607575963,0.826,0.7022,0.9479,0.4366,-0.2015
P003,2024-05-01,103,0.6808708023352633,0.8285,0.7107,0.9378,0.4563,-0.2083
P003,2024-05-06,111,0.6458792158281501,0.8138,0.6866,0.9486,0.454,-0.2073
P003,2024-05-11,83,0.514923436412183,0.8173,0.6986,0.9223,0.4586,-0.203
P003,2024-05-16,83,0.7346006863439051,0.8067,0.7037,0.9396,0.4353,-0.1994
P003,2024-05-21,81,0.7922933801091235,0.8093,0.6809,0.9298,0.4259,-0.201
P003,2024-05-26,74,0.5077423664122819,0.7856,0.6777,0.9071,0.4234,-0.1992
P003,2024-06-05,106,0.6693282980464291,0.6831,0.5929,0.7791,0.3834,-0.1761
P003,2024-06-15,84,0.6697782992672163,0.5259,0.4313,0.591,0.2829,-0.144
P003,2024-06-20,116,0.6801347752712883,0.4324,0.3912,0.4798,0.2402,-0.1194
P003,2024-06-25,66,0.401194293768857,0.3493,0.2993,0.4207,0.1867,-0.0847
P003,2024-07-05,98,0.6628559717202775,0.2182,0.1627,0.2573,0.1187,-0.0647
P003,2024-07-10,100,0.6707360803326712,0.1944,0.1713,0.2102,0.1195,-0.0626
P004,2022-02-01,115,0.6554876234616496,0.1282,0.0984,0.1369,0.0688,-0.0442
P004,2022-02-11,109,0.6822923323553407,0.1425,0.1218,0.1509,0.0988,-0.0244
P004,2022-02-16,104,0.5479796176830651,0.1613,0.1392,0.1743,0.1063,-0.0322
P004,2022-02-21,100,0.6024876032011455,0.1895,0.1679,0.23,0.1175,-0.0633
P004,2022-03-18,88,0.7048853122729898,0.5699,0.4659,0.6522,0.3095,-0.144
P004,2022-03-23,118,0.7440440576479533,0.6268,0.5372,0.7178,0.3398,-0.1558
P004,2022-04-02,70,0.7499155354315562,0.7031,0.598,0.8182,0.3633,-0.1955
P004,2022-04-22,105,0.889895826448668,0.7478,0.6405,0.8573,0.386,-0.1793
P004,2022-05-02,119,0.618053635894874,0.732,0.629,0.8504,0.4213,-0.1918
P004,2022-05-07,94,0.7586115107157236,0.7399,0.6177,0.855,0.4139,-0.1841
P004,2022-05-12,107,0.7111941147471404,0.7251,0.6311,0.8249,0.3918,-0.1812
P004,2022-05-22,119,0.44434072383979234,0.6995,0.5949,0.7932,0.3801,-0.1683
P004,2022-06-01,86,0.7050993138372417,0.6475,0.5571,0.7494,0.3478,-0.1636
P004,2022-06-06,66,0.5404556913373303,0.603,0.5191,0.6826,0.3486,-0.1405
P004,2022-06-11,69,0.773584926515429,0.5626,0.4761,0.6538,0.305,-0.1383
P004,2022-06-21,68,0.5708451778913312,0.4197,0.3461,0.4644,0.2396,-0.0868
P004,2022-06-26,103,0.5060873267060225,0.3526,0.307,0.4198,0.1885,-0.0871
P004,2022-07-01,92,0.5904660405847924,0.2507,0.2151,0.2727,0.1444,-0.0524
P004,2022-07-06,98,0.5794616127884349,0.2162,0.1622,0.246,0.1119,-0.0696
P004,2022-07-11,64,0.5886396062032151,0.1674,0.1368,0.2033,0.0993,-0.0432
P004,2023-02-06,70,0.4229450686892717,0.1284,0.1053,0.1296,0.0616,-0.0412
P004,2023-02-16,105,0.7868056513492998,0.1364,0.0982,0.1503,0.0776,-0.0443
P004,2023-02-21,105,0.5695955121148455,0.1451,0.1205,0.161,0.0818,-0.0427
P004,2023-03-08,67,0.7857582562256138,0.1812,0.1531,0.204,0.1092,-0.0477
P004,2023-03-23,62,0.5489465687968194,0.4499,0.3901,0.4985,0.2501,-0.0967
P004,2023-03-28,79,0.6659325796795387,0.5277,0.4489,0.6043,0.2808,-0.1348
P004,2023-04-02,83,0.6349174397204039,0.6073,0.5082,0.6848,0.3387,-0.1464
P004,2023-04-12,74,0.8088016406048635,0.6837,0.5842,0.7853,0.3697,-0.1488
P004,2023-04-22,105,0.815101473517516,0.7311,0.624,0.8267,0.4156,-0.1837
P004,2023-04-27,66,0.8438513357394231,0.7159,0.5959,0.8411,0.4016,-0.1791
P004,2023-05-02,110,0.7738946675744461,0.7135,0.6062,0.8139,0.3994,-0.1736
P004,2023-05-07,119,0.7694894781249111,0.6893,0.5852,0.7794,0.3615,-0.1667
P004,2023-05-12,118,0.780811579044189,0.6813,0.5743,0.7966,0.3688,-0.1637
P004,2023-05-22,93,0.6806166425513129,0.5452,0.4734,0.617,0.3034,-0.1271
P004,2023-05-27,72,1.0,0.4877,0.4069,0.5471,0.2563,-0.1153
P004,2023-06-06,85,0.8650300939993592,0.3523,0.2872,0.4167,0.2281,-0.0844
P004,2023-06-11,80,0.6760710346656661,0.2555,0.1991,0.2878,0.1274,-0.0783
P004,2023-06-16,91,0.8069531370920976,0.2407,0.2015,0.2751,0.144,-0.0605
P004,2023-06-21,69,0.7205993553232476,0.1852,0.154,0.1989,0.0781,-0.0489
P004,2023-07-11,85,0.42659879909109316,0.1144,0.0881,0.1357,0.0676,-0.0401
P004,2024-02-01,83,0.628631102258844,0.1159,0.0992,0.133,0.0661,-0.0069
P004,2024-02-06,93,0.9102693100866447,0.1153,0.099,0.1559,0.0589,-0.0256
P004,2024-02-11,84,0.697271289728506,0.1307,0.1136,0.1588,0.0757,-0.0201
P004,2024-02-21,116,0.8091356474163046,0.1443,0.1154,0.159,0.068,-0.0267
P004,2024-03-02,66,0.7404736988342597,0.1821,0.1621,0.2009,0.0872,-0.0433
P004,2024-03-12,67,0.851622726313709,0.2744,0.2258,0.3104,0.1396,-0.0556
P004,2024-03-17,95,0.840749006351831,0.3519,0.3116,0.4329,0.1731,-0.0954
P004,2024-03-22,79,0.5883625128594431,0.4221,0.3558,0.4733,0.2362,-0.105
P004,2024-03-27,81,0.8261592677457379,0.4999,0.431,0.5712,0.3004,-0.1226
P004,2024-04-06,113,0.7526001943726961,0.6548,0.5554,0.7484,0.3843,-0.1582
P004,2024-04-21,104,0.7555208248645432,0.7302,0.6224,0.8212,0.3994,-0.1824
P004,2024-04-26,74,0.669069722711829,0.7238,0.6135,0.8333,0.4054,-0.1701
P004,2024-05-01,80,0.6815765705826964,0.7235,0.6193,0.8381,0.3927,-0.173
P004,2024-05-06,108,1.0,0.7461,0.6255,0.8581,0.4105,-0.1875
P004,2024-05-11,87,0.5271656995153393,0.7137,0.6076,0.8131,0.3936,-0.1864
P004,2024-05-16,62,0.7726382290209743,0.7106,0.6098,0.839,0.3941,-0.1728
P004,2024-05-26,62,0.987424417016,0.6973,0.5835,0.7915,0.3831,-0.1752
P004,2024-06-10,69,0.5409491273450743,0.578,0.5007,0.6696,0.3105,-0.1603
P004,2024-06-25,102,0.5945127037695515,0.3584,0.3038,0.419,0.1686,-0.0793
P004,2024-06-30,107,0.7870024724416116,0.2911,0.2583,0.3403,0.1316,-0.0806
P004,2024-07-05,91,0.720753017082032,0.2381,0.2071,0.2817,0.1382,-0.0617
P004,2024-07-10,96,0.8124552222208433,0.2049,0.1632,0.2419,0.1236,-0.05
P004,2024-07-15,115,0.5582867455932294,0.1748,0.1675,0.1956,0.0724,-0.0314
P005,2022-02-01,75,0.9386668426304164,0.1376,0.1284,0.1583,0.0471,-0.0292
P005,2022-02-06,87,0.9704905846411847,0.164,0.1411,0.1986,0.0794,-0.0565
P005,2022-02-26,70,0.8751788321053586,0.2854,0.2531,0.3367,0.1747,-0.0733
P005,2022-03-03,119,0.7217120800490985,0.3735,0.3256,0.4198,0.2033,-0.1003
P005,2022-03-13,96,0.8432401969681457,0.6022,0.5115,0.6945,0.317,-0.1724
P005,2022-03-18,95,0.7985985384408216,0.7067,0.6127,0.8284,0.4075,-0.1866
P005,2022-03-23,71,1.0,0.8091,0.7025,0.9417,0.4403,-0.2111
P005,2022-03-28,92,0.584900810364846,0.8255,0.6993,0.9481,0.4731,-0.2099
P005,2022-04-02,66,0.645146722034411,0.8633,0.7343,0.992,0.4716,-0.2079
P005,2022-04-07,64,0.6724478662568459,0.8861,0.76,1.0129,0.468,-0.2148
P005,2022-04-12,100,0.45587316022957014,0.8949,0.7678,1.0126,0.4959,-0.2326
P005,2022-04-17,105,0.6837134974380464,0.8954,0.7592,1.0232,0.4995,-0.2283
P005,2022-04-22,71,0.6453664190105538,0.8742,0.7344,0.9888,0.4843,-0.2221
P005,2022-04-27,98,0.66964276908459,0.9001,0.7561,1.0509,0.4746,-0.2394
P005,2022-05-02,82,0.6382525591911538,0.9043,0.7623,1.0461,0.4694,-0.2447
P005,2022-05-07,95,0.9824835849193689,0.8839,0.747,1.0175,0.4998,-0.1999
P005,2022-05-12,82,1.0,0.8965,0.7468,1.0412,0.4808,-0.2231
P005,2022-05-17,90,0.6062982598948157,0.8473,0.7103,0.9771,0.4779,-0.2131
P005,2022-05-22,98,0.6042571840480561,0.8231,0.707,0.9547,0.4839,-0.2095
P005,2022-05-27,91,0.8653448807360619,0.7541,0.6492,0.8619,0.4099,-0.1831
P005,2022-06-01,63,0.7634389151052652,0.6854,0.5926,0.7822,0.3549,-0.1905
P005,2022-06-11,91,0.7268083862070136,0.5013,0.4142,0.5695,0.2664,-0.1297
P005,2022-06-16,108,0.7524194122914006,0.3905,0.3273,0.4448,0.2187,-0.0918
P005,2022-06-21,82,0.7554721133421347,0.3147,0.2472,0.3641,0.1823,-0.0815
P005,2022-06-26,114,0.7826160622954892,0.2507,0.2127,0.2873,0.1365,-0.0616
P005,2022-07-01,95,0.9566604354412116,0.1982,0.1685,0.2361,0.1006,-0.0419
P005,2022-07-11,74,0.7316874168042913,0.1789,0.1302,0.2003,0.1132,-0.0392
P005,2023-02-01,89,0.8446857492100721,0.1361,0.1205,0.1606,0.071,-0.0262
P005,2023-02-06,89,0.70321630316169,0.1475,0.1456,0.1523,0.0871,-0.0537
P005,2023-02-11,61,0.6849558772268718,0.141,0.099,0.1661,0.073,-0.0562
P005,2023-02-21,93,0.8038434660977207,0.1692,0.1443,0.2079,0.1132,-0.031
P005,2023-02-26,109,0.7802017279822383,0.2041,0.1779,0.2166,0.1179,-0.0283
P005,2023-03-08,109,0.7390172514024268,0.3617,0.3113,0.4078,0.1874,-0.0778
P005,2023-03-13,113,0.6013340526618974,0.4785,0.4164,0.5494,0.2672,-0.115
P005,2023-03-23,80,0.7964119259639887,0.6847,0.5882,0.7791,0.4025,-0.1665
P005,2023-03-28,103,0.5087721283182688,0.7727,0.6486,0.901,0.4284,-0.2123
P005,2023-04-12,101,0.7807060029030795,0.8577,0.7408,0.9774,0.4598,-0.2164
P005,2023-04-22,83,0.4997948100166355,0.9078,0.7799,1.0379,0.4946,-0.2455
P005,2023-04-27,73,0.8895566786434338,0.8774,0.7381,1.0256,0.4744,-0.2262
