date,tmax,tmin,rh,u2,rs,rain
2022-03-23,7.84,-3.79,76.5,1.34,14.56,9.63
2022-03-24,9.71,2.28,76.2,2.12,12.76,0.0
2022-03-25,8.75,0.71,62.7,2.88,15.47,0.0
2022-03-26,8.78,1.36,68.5,1.34,15.0,0.0
2022-03-27,6.72,-3.84,69.5,2.12,19.99,0.0
2022-03-28,9.7,1.24,77.5,2.51,16.04,0.0
2022-03-29,8.85,-2.65,51.5,4.12,14.36,0.0
2022-03-30,13.11,1.64,73.8,1.49,17.88,0.0
2022-03-31,12.06,0.38,58.2,2.16,13.81,0.0
2022-04-01,10.6,2.32,54.3,2.73,13.65,0.0
2022-04-02,12.56,5.56,63.0,2.26,21.58,0.0
2022-04-03,10.28,1.34,59.9,1.24,12.52,0.0
2022-04-04,14.0,2.18,52.1,2.53,13.64,0.0
2022-04-05,11.59,0.77,46.0,2.29,15.35,0.0
2022-04-06,13.3,6.0,52.6,2.56,12.17,0.0
2022-04-07,8.85,-1.66,76.5,3.11,9.14,8.19
2022-04-08,13.18,1.6,81.6,3.01,18.75,0.0
2022-04-09,8.34,-3.5,68.5,2.53,13.35,0.0
2022-04-10,7.71,-2.87,73.9,2.45,14.2,0.0
2022-04-11,12.28,0.96,56.8,1.32,14.83,0.0
2022-04-12,11.03,-0.18,61.2,2.09,13.12,0.0
2022-04-13,13.93,5.14,64.8,2.38,12.96,0.0
2022-04-14,19.37,11.88,51.2,1.88,16.79,0.0
2022-04-15,11.92,1.28,52.1,2.28,23.62,0.0
2022-04-16,12.68,5.0,63.0,1.54,18.75,0.0
2022-04-17,15.0,6.07,58.8,3.43,18.91,0.0
2022-04-18,15.96,3.98,51.4,3.92,12.27,0.0
2022-04-19,14.52,4.72,65.9,1.89,16.83,0.0
2022-04-20,14.69,5.08,59.4,2.52,13.47,4.33
2022-04-21,17.2,5.46,72.2,2.01,19.46,0.0
2022-04-22,16.98,8.56,61.9,3.21,16.58,0.0
2022-04-23,13.34,1.34,59.0,2.55,17.49,0.0
2022-04-24,15.96,4.4,63.3,2.26,17.23,0.0
2022-04-25,16.49,7.67,60.3,2.02,15.86,0.0
2022-04-26,14.0,5.36,55.3,2.3,13.16,0.0
2022-04-27,17.52,9.89,58.0,1.4,19.58,0.0
2022-04-28,14.96,3.38,69.5,2.74,13.81,0.0
2022-04-29,19.77,11.84,68.5,1.63,14.53,0.0
2022-04-30,18.06,11.01,74.9,2.63,17.29,0.0
2022-05-01,18.03,6.58,45.1,2.3,16.18,0.0
2022-05-02,16.56,6.57,58.1,3.08,19.2,0.0
2022-05-03,17.97,7.61,57.9,2.19,21.55,0.0
2022-05-04,13.5,2.84,63.7,3.02,19.38,0.0
2022-05-05,15.9,8.68,57.5,1.46,19.33,0.0
2022-05-06,19.86,12.4,56.9,2.69,18.92,0.0
2022-05-07,13.85,4.36,69.8,2.02,21.53,0.0
2022-05-08,21.52,14.26,63.8,2.36,13.53,0.0
2022-05-09,15.26,5.73,50.3,2.26,20.28,0.0
2022-05-10,21.73,11.05,75.3,2.95,16.48,0.0
2022-05-11,17.95,7.66,72.0,0.58,15.68,3.17
2022-05-12,22.22,12.14,56.3,2.46,19.5,5.15
2022-05-13,20.82,13.59,70.3,1.0,18.43,0.0
2022-05-14,16.86,8.68,54.6,3.17,21.44,8.44
2022-05-15,24.04,12.55,73.3,0.62,23.09,0.0
2022-05-16,24.73,17.11,59.8,1.4,12.91,1.52
2022-05-17,21.16,11.5,54.0,0.86,19.77,0.0
2022-05-18,20.85,13.6,58.3,3.51,25.96,0.0
2022-05-19,21.33,9.64,54.3,1.17,22.78,0.0
2022-05-20,19.5,11.64,63.9,2.29,24.61,1.36
2022-05-21,24.88,15.83,63.8,1.77,20.67,0.0
2022-05-22,20.97,11.24,62.4,0.76,16.15,0.0
2022-05-23,22.39,11.8,56.4,1.93,17.17,0.0
2022-05-24,20.73,9.04,25.4,2.73,22.77,4.95
2022-05-25,21.33,10.65,62.9,2.05,23.6,0.0
2022-05-26,19.89,11.15,43.0,2.95,18.61,0.0
2022-05-27,26.41,19.03,64.4,1.91,20.08,0.0
2022-05-28,23.06,12.52,73.3,2.21,21.76,0.0
2022-05-29,26.03,14.17,64.7,1.89,15.8,0.0
2022-05-30,23.83,16.74,58.1,2.47,20.08,0.0
2022-05-31,22.23,11.35,60.2,3.72,26.06,0.0
2022-06-01,23.31,15.43,60.7,2.49,27.84,0.0
2022-06-02,22.9,13.6,56.5,2.36,21.04,3.84
2022-06-03,24.48,14.86,56.2,1.71,26.93,1.49
2022-06-04,23.68,13.61,52.8,1.6,19.93,9.19
2022-06-05,24.02,12.07,73.9,3.37,19.14,2.81
2022-06-06,21.48,11.04,61.8,1.31,14.93,27.53
2022-06-07,23.06,14.09,71.6,1.47,24.58,0.0
2022-06-08,29.35,18.78,59.5,2.12,20.65,0.0
2022-06-09,23.68,14.35,62.7,1.86,28.85,0.0
2022-06-10,22.87,13.8,60.3,3.76,22.89,0.0
2022-06-11,26.48,17.65,66.6,0.4,22.52,7.38
2022-06-12,29.29,19.82,70.3,2.49,16.59,0.0
2022-06-13,22.26,13.86,64.4,2.77,26.57,0.0
2022-06-14,25.5,17.29,55.3,1.3,21.03,0.0
2022-06-15,24.56,16.82,54.2,1.68,21.69,6.37
2022-06-16,21.86,12.66,78.6,2.55,15.61,0.0
2022-06-17,28.21,19.75,59.2,3.5,25.05,0.0
2022-06-18,26.43,15.24,59.1,1.46,25.29,0.0
2022-06-19,26.77,15.53,76.7,0.94,20.55,3.58
2022-06-20,24.82,16.1,72.9,2.98,22.69,0.0
2022-06-21,27.93,17.84,67.3,3.42,23.62,0.0
2022-06-22,25.55,14.03,58.0,1.93,25.37,12.75
2022-06-23,26.63,17.83,85.5,0.43,22.84,0.0
2022-06-24,24.3,14.53,65.9,3.36,27.73,0.0
2022-06-25,24.12,14.9,67.5,2.04,21.86,0.0
2022-06-26,30.58,20.33,60.3,3.1,20.8,0.0
2022-06-27,26.05,14.25,47.9,2.17,21.25,0.0
2022-06-28,28.12,20.42,48.7,1.9,15.06,0.0
2022-06-29,27.37,15.54,66.1,1.84,20.28,0.0
2022-06-30,26.42,16.09,65.9,3.38,25.74,3.99
2022-07-01,26.31,15.33,59.6,3.35,23.54,0.0
2022-07-02,29.21,19.04,50.3,0.49,20.31,0.0
2022-07-03,26.94,15.58,47.6,1.45,23.83,0.0
2022-07-04,27.36,18.73,58.7,3.62,16.74,0.0
2022-07-05,27.84,17.3,47.4,1.91,21.95,0.0
2022-07-06,30.76,22.44,71.0,1.11,24.39,2.77
2022-07-07,29.56,20.02,73.5,2.2,24.92,0.0
2022-07-08,28.85,18.44,90.3,2.11,20.51,0.0
2022-07-09,26.51,18.5,70.8,2.12,25.57,0.0
2022-07-10,24.49,17.18,56.1,1.82,28.45,8.46
2022-07-11,30.34,19.38,53.3,1.95,21.56,0.0
2022-07-12,30.39,19.35,27.5,1.84,25.06,6.29
2022-07-13,27.64,17.31,56.1,2.47,18.16,0.0
2022-07-14,29.35,20.74,60.2,1.55,16.94,8.18
2022-07-15,29.95,19.66,71.7,1.97,24.65,0.0
2022-07-16,30.08,22.66,68.1,2.08,22.93,0.0
2022-07-17,30.3,19.98,67.9,3.24,23.39,0.0
2022-07-18,26.85,16.96,64.1,2.5,21.03,10.51
2022-07-19,31.76,21.67,68.6,2.11,21.88,0.0
2022-07-20,24.84,15.6,76.5,2.63,25.18,0.0
2022-07-21,30.09,21.96,51.4,2.52,27.88,0.0
2022-07-22,29.14,18.51,57.4,3.07,22.05,0.0
2022-07-23,30.06,20.74,48.1,2.61,17.72,0.0
2022-07-24,32.54,21.81,78.2,3.64,26.47,0.0
2022-07-25,31.51,22.69,75.0,3.28,24.43,0.0
2022-07-26,24.9,17.46,69.5,2.17,24.64,0.0
2022-07-27,23.49,13.78,50.0,1.87,23.1,4.55
2022-07-28,29.71,19.59,63.7,2.91,29.49,0.0
2022-07-29,25.07,13.46,59.7,2.61,22.71,1.58
2022-07-30,27.52,16.08,62.8,2.12,23.99,0.0
2022-07-31,29.59,22.3,60.1,1.02,16.84,0.0
2022-08-01,23.31,12.45,67.2,0.73,20.62,0.0
2022-08-02,22.08,13.77,58.1,2.48,20.25,0.0
2022-08-03,27.93,17.44,70.5,2.82,22.18,0.0
2022-08-04,27.31,18.41,64.4,2.84,23.27,4.92
2022-08-05,26.5,17.89,59.1,1.17,19.92,9.2
2022-08-06,27.13,17.69,60.9,3.03,27.31,0.0
2022-08-07,24.79,15.14,57.6,1.77,18.87,6.91
2022-08-08,23.06,12.59,70.1,2.51,20.65,5.09
2022-08-09,26.33,16.14,59.3,2.53,22.66,0.0
2022-08-10,24.22,13.83,64.9,1.56,18.13,0.0
2022-08-11,22.43,13.51,58.1,1.73,23.54,0.0
2022-08-12,27.7,17.31,47.1,0.54,23.66,5.98
2022-08-13,26.17,17.44,71.1,1.47,20.82,0.0
2022-08-14,27.22,17.18,51.4,0.76,27.36,0.0
2022-08-15,23.61,14.31,68.8,2.55,21.81,0.0
2022-08-16,24.32,14.5,66.2,2.25,22.34,0.0
2022-08-17,23.34,16.25,45.4,2.93,18.54,0.0
2022-08-18,23.49,13.99,52.6,2.49,16.32,0.0
2022-08-19,26.06,17.96,56.9,1.69,19.38,0.0
2022-08-20,23.47,14.55,53.8,2.48,20.23,6.66
2022-08-21,26.18,18.81,50.2,1.89,19.75,0.0
2022-08-22,26.0,15.71,69.4,2.69,23.34,0.0
2022-08-23,30.06,18.59,59.6,2.45,13.79,0.0
2022-08-24,21.37,12.59,65.9,1.41,17.47,0.0
2022-08-25,26.91,19.39,57.7,2.2,15.3,0.0
2022-08-26,24.31,14.21,65.1,2.24,24.73,0.0
2022-08-27,24.34,16.71,54.5,1.95,18.92,0.0
2022-08-28,20.59,9.13,61.7,2.92,18.98,16.41
2022-08-29,22.9,15.28,67.8,3.57,17.13,0.0
2022-08-30,25.74,16.93,62.5,1.91,23.04,0.0
2022-08-31,23.5,14.03,57.4,1.92,19.01,0.0
2022-09-01,23.73,16.14,51.1,0.4,20.82,0.0
2022-09-02,22.63,14.03,63.7,2.1,13.95,2.29
2022-09-03,26.06,17.68,65.4,1.85,23.48,0.0
2022-09-04,22.94,12.37,59.4,0.47,21.05,0.0
2022-09-05,17.3,5.37,54.3,2.43,21.42,0.0
2022-09-06,20.88,12.07,67.4,2.67,23.38,0.0
2022-09-07,17.5,6.55,86.8,1.61,18.98,0.0
2022-09-08,14.1,6.4,59.0,1.9,18.96,0.0
2022-09-09,20.71,10.81,65.4,1.43,21.51,8.4
2022-09-10,25.17,16.0,65.8,2.81,20.54,0.0
2022-09-11,21.75,13.31,36.3,0.99,18.41,0.0
2022-09-12,18.5,7.39,63.2,1.95,19.17,0.0
2022-09-13,18.87,8.14,54.9,3.76,17.42,0.0
2022-09-14,23.84,16.17,75.8,2.24,20.97,0.0
2022-09-15,21.2,12.74,59.5,2.57,21.52,0.0
2022-09-16,20.72,9.62,54.2,2.08,18.62,12.15
2022-09-17,20.25,8.29,59.8,1.26,24.14,0.0
2022-09-18,20.26,10.21,63.7,2.17,13.76,0.0
2022-09-19,21.96,10.61,56.4,2.53,17.57,6.27
2022-09-20,21.11,9.19,61.5,1.38,23.3,1.37
2022-09-21,20.05,9.35,48.5,2.47,16.78,0.0
2022-09-22,16.68,6.46,59.7,3.2,13.12,0.0
2022-09-23,20.34,12.24,69.8,3.06,22.01,5.15
2022-09-24,17.13,8.28,81.7,0.93,19.34,7.63
2022-09-25,21.35,11.23,69.1,1.42,13.99,0.0
2022-09-26,15.21,3.57,64.7,0.91,19.8,0.0
2022-09-27,17.81,9.3,73.8,3.06,14.28,0.0
2022-09-28,17.9,8.93,72.2,2.69,13.2,0.0
2022-09-29,14.38,7.27,78.6,2.76,16.66,0.0
2022-09-30,21.76,11.28,72.8,1.5,15.55,0.0
2022-10-01,20.88,11.66,60.8,1.27,13.58,2.87
2022-10-02,15.83,4.84,64.6,2.26,15.66,0.0
2022-10-03,18.68,10.51,63.8,2.28,13.62,0.0
2022-10-04,17.46,7.17,65.0,1.52,16.7,0.0
2022-10-05,9.75,-0.62,64.0,2.31,16.33,0.0
2022-10-06,16.67,7.35,54.2,2.72,18.52,9.69
2022-10-07,15.65,7.71,41.0,2.38,14.79,10.16
2022-10-08,15.77,6.76,55.3,1.37,12.03,0.75
2022-10-09,12.63,1.91,41.7,0.51,11.95,0.0
2022-10-10,14.41,6.46,62.7,1.99,15.06,0.0
2022-10-11,14.4,6.95,62.0,2.33,20.3,0.0
2022-10-12,17.57,8.26,45.2,1.99,18.11,0.0
2022-10-13,15.2,7.02,68.9,1.86,13.51,0.0
2022-10-14,14.11,3.1,70.7,1.65,18.15,0.0
2022-10-15,17.7,6.62,63.0,2.77,11.71,0.0
2022-10-16,12.25,0.52,78.7,2.16,18.12,0.0
2022-10-17,12.42,1.23,80.7,2.3,13.81,0.0
2022-10-18,8.62,-1.62,49.9,1.42,17.15,0.0
2022-10-19,16.84,8.9,72.4,1.7,16.59,0.0
2022-10-20,15.09,3.97,66.4,2.33,13.77,6.67
2022-10-21,14.73,4.09,66.2,1.4,15.47,0.0
2022-10-22,13.87,3.14,71.3,1.19,11.15,0.0
2022-10-23,12.23,1.75,54.8,1.94,14.02,0.0
2022-10-24,12.26,1.11,56.1,3.16,17.39,0.0
2022-10-25,10.85,2.36,53.7,2.35,26.34,0.0
2022-10-26,10.74,0.38,54.5,3.37,16.01,0.0
2022-10-27,11.15,1.56,61.0,2.09,14.05,0.0
2022-10-28,14.56,5.87,47.5,1.95,10.62,4.37
2022-10-29,11.93,3.3,51.5,1.09,16.74,0.57
2022-10-30,10.16,2.39,67.8,1.74,8.46,4.02
2022-10-31,8.63,-0.83,61.3,3.35,10.91,4.26
2022-11-01,8.26,-0.59,65.8,2.46,14.29,0.0
2022-11-02,13.62,4.52,43.1,2.79,9.48,0.0
2022-11-03,10.65,-0.6,54.2,2.76,17.63,0.0
2022-11-04,9.33,-1.08,56.4,2.19,16.17,0.0
2022-11-05,8.07,-2.33,62.3,2.04,11.07,0.0
2022-11-06,5.94,-5.98,56.1,2.3,11.0,0.0
2022-11-07,8.32,0.23,71.3,2.74,8.59,0.0
2022-11-08,10.45,0.91,61.4,2.57,8.24,0.0
2022-11-09,7.07,-0.39,62.2,2.59,13.68,0.0
2022-11-10,7.26,-1.7,62.1,2.32,14.13,0.0
2022-11-11,7.06,-4.69,69.1,1.58,13.2,0.0
2022-11-12,7.68,0.25,57.3,1.99,12.84,0.0
2022-11-13,3.21,-7.58,73.2,1.45,10.26,3.74
2022-11-14,6.39,-4.93,66.6,3.0,12.93,0.0
2022-11-15,4.64,-4.91,63.5,0.52,7.32,3.53
2022-11-16,8.78,-2.21,62.4,2.03,11.68,0.0
2022-11-17,4.44,-4.77,67.2,4.11,15.99,0.0
2022-11-18,7.61,-1.16,72.2,1.93,15.44,0.0
2022-11-19,9.78,0.25,71.5,1.29,9.97,14.12
2022-11-20,4.99,-2.99,65.8,2.19,10.27,0.0
2022-11-21,4.07,-4.46,70.8,3.23,15.33,9.4
2022-11-22,5.86,-2.66,63.2,2.07,16.48,0.0
2022-11-23,5.19,-6.75,74.5,2.69,6.5,0.0
2022-11-24,2.53,-6.15,61.7,2.28,9.64,0.0
2022-11-25,5.98,-2.16,41.2,1.9,11.54,0.0
2022-11-26,9.69,-2.01,75.4,4.72,14.42,0.0
2022-11-27,3.82,-3.87,63.1,2.26,8.15,0.0
2022-11-28,3.79,-8.04,50.3,1.77,12.53,0.0
2022-11-29,1.51,-9.76,60.0,1.81,9.61,0.0
2022-11-30,4.75,-5.49,53.2,2.5,17.59,13.04
2022-12-01,0.67,-8.47,83.0,2.53,11.66,0.0
2022-12-02,0.86,-7.13,67.0,2.82,9.88,0.0
2022-12-03,6.66,-0.87,46.3,2.31,9.21,0.0
2022-12-04,1.04,-6.48,67.5,1.05,13.33,9.71
2022-12-05,5.86,-2.89,58.0,2.63,12.12,8.9
2022-12-06,6.81,-2.22,81.2,1.95,6.75,0.0
2022-12-07,3.5,-8.12,51.5,1.97,10.6,8.29
2022-12-08,4.09,-5.59,39.5,1.01,5.85,0.0
2022-12-09,7.45,-4.5,62.7,1.74,7.55,0.0
2022-12-10,1.94,-8.67,58.5,1.62,5.86,5.18
2022-12-11,0.81,-6.92,57.8,2.17,5.71,0.0
2022-12-12,-1.22,-10.98,40.6,1.04,7.58,0.0
2022-12-13,2.14,-5.65,66.3,2.24,6.64,0.0
2022-12-14,5.61,-1.58,78.7,2.3,11.13,0.0
2022-12-15,4.2,-7.52,42.9,1.3,11.89,0.0
2022-12-16,-0.68,-9.36,73.7,1.7,8.72,0.0
2022-12-17,-0.57,-8.52,56.3,1.51,6.02,0.0
2022-12-18,0.2,-7.31,85.5,2.93,11.77,0.0
2022-12-19,2.08,-8.18,66.4,0.4,3.21,2.34
2022-12-20,0.74,-8.57,60.1,1.93,3.45,0.0
2022-12-21,1.69,-5.37,73.1,0.87,11.42,0.0
2022-12-22,1.8,-8.77,67.3,1.85,11.17,0.0
2022-12-23,0.22,-8.06,56.1,2.88,12.09,0.01
2022-12-24,0.78,-10.12,69.1,1.7,8.47,0.0
2022-12-25,1.32,-8.13,56.9,2.31,5.29,0.0
2022-12-26,0.51,-9.16,44.1,1.52,7.53,0.0
2022-12-27,1.91,-7.38,82.3,3.75,10.74,13.84
2022-12-28,5.26,-5.12,58.5,2.93,6.7,7.1
2022-12-29,1.99,-9.96,55.9,3.1,6.87,0.0
2022-12-30,0.59,-10.4,65.4,1.14,4.76,0.0
2022-12-31,-3.82,-11.17,46.4,1.32,5.44,0.0
2023-01-01,1.31,-8.17,48.5,3.06,11.47,0.0
2023-01-02,-4.58,-12.75,57.0,2.04,10.28,0.0
2023-01-03,-3.28,-10.8,56.8,1.99,5.4,5.71
2023-01-04,2.33,-5.64,62.7,2.47,5.63,0.0
2023-01-05,1.92,-6.32,73.2,1.2,7.19,0.0
2023-01-06,-0.25,-12.05,57.3,2.82,10.52,0.0
2023-01-07,-4.18,-14.9,66.9,2.21,5.35,0.0
2023-01-08,-0.86,-12.12,68.0,2.58,8.36,0.0
2023-01-09,-1.65,-12.14,51.2,1.66,2.4,0.0
2023-01-10,1.62,-6.96,64.3,2.61,5.08,8.34
2023-01-11,5.66,-3.3,52.6,1.64,10.14,0.0
2023-01-12,0.55,-8.65,72.6,2.96,11.58,0.0
2023-01-13,-1.95,-10.41,66.6,3.1,5.4,0.0
2023-01-14,-2.93,-12.03,62.2,2.93,6.56,0.0
2023-01-15,-0.14,-10.99,48.6,2.61,11.31,0.0
2023-01-16,-0.43,-7.81,63.2,2.71,7.75,0.0
2023-01-17,-2.86,-11.24,54.3,0.4,7.31,0.0
2023-01-18,0.33,-9.07,69.1,2.87,10.52,0.0
2023-01-19,-2.82,-13.2,60.8,1.98,9.57,0.0
2023-01-20,2.86,-7.37,53.9,2.28,12.35,0.0
2023-01-21,2.77,-7.86,71.3,1.97,11.41,0.0
2023-01-22,2.85,-4.67,69.2,1.09,7.31,9.09
2023-01-23,-1.01,-8.91,56.1,1.77,8.72,0.0
2023-01-24,1.5,-7.04,73.6,2.73,8.93,0.0
2023-01-25,-0.07,-8.48,59.0,3.33,5.06,5.23
2023-01-26,-0.66,-11.44,58.9,1.7,6.24,3.37
2023-01-27,-0.49,-12.45,63.2,1.48,12.14,5.08
2023-01-28,-2.83,-13.25,54.5,3.36,4.47,1.82
2023-01-29,-3.13,-10.3,57.6,1.49,12.29,6.61
2023-01-30,2.53,-5.96,60.4,3.86,10.19,0.0
2023-01-31,0.13,-10.88,77.3,2.24,8.96,0.0
2023-02-01,1.23,-10.4,77.0,1.49,11.05,0.0
2023-02-02,3.27,-6.71,59.4,2.99,10.91,0.0
2023-02-03,-3.49,-12.23,78.1,3.55,13.16,0.0
2023-02-04,-1.03,-9.81,61.6,1.05,8.37,0.0
2023-02-05,1.45,-8.71,65.8,3.45,8.94,0.23
2023-02-06,2.09,-9.23,70.8,1.97,8.94,0.0
2023-02-07,0.26,-8.44,64.9,3.39,15.41,0.0
2023-02-08,3.87,-4.08,86.2,1.9,12.65,0.0
2023-02-09,1.93,-5.08,64.4,0.94,7.08,0.0
2023-02-10,-1.52,-9.21,50.0,2.6,8.92,0.0
2023-02-11,-0.7,-11.96,75.1,2.94,7.87,0.0
2023-02-12,3.75,-6.37,57.9,3.88,10.1,0.0
2023-02-13,3.02,-8.94,59.0,3.58,10.77,0.0
2023-02-14,-2.77,-10.12,32.1,2.76,17.1,0.0
2023-02-15,5.47,-3.36,72.0,2.01,4.77,0.0
2023-02-16,3.73,-7.25,70.2,1.78,13.44,0.0
2023-02-17,5.72,-4.58,70.0,1.96,11.73,0.0
2023-02-18,1.54,-5.79,71.8,1.54,8.38,0.0
2023-02-19,1.9,-7.11,78.9,1.98,10.12,0.0
2023-02-20,-0.04,-10.22,61.5,0.4,9.16,6.42
2023-02-21,9.27,-1.17,71.4,2.34,10.88,0.0
2023-02-22,2.64,-6.62,54.6,2.18,13.85,0.89
2023-02-23,7.2,-0.74,58.5,4.25,6.33,0.0
2023-02-24,1.77,-10.06,72.6,2.81,14.94,0.0
2023-02-25,3.95,-5.38,65.9,1.82,9.95,0.0
2023-02-26,-0.47,-11.06,48.7,2.65,15.68,0.0
2023-02-27,2.91,-6.76,65.6,1.22,12.49,0.0
2023-02-28,6.5,-0.91,60.2,1.72,15.06,8.03
2023-03-01,1.08,-7.11,53.8,0.71,13.14,0.0
2023-03-02,7.06,-0.25,66.3,3.35,14.8,0.0
2023-03-03,5.4,-2.55,58.0,2.67,11.8,0.0
2023-03-04,2.13,-5.87,46.3,1.26,9.22,0.0
2023-03-05,3.67,-5.41,50.9,2.15,13.85,0.0
2023-03-06,3.96,-4.65,79.7,2.96,14.06,0.0
2023-03-07,5.17,-3.65,46.9,2.6,18.34,0.0
2023-03-08,4.14,-6.94,64.2,2.51,6.1,0.0
2023-03-09,3.61,-3.5,68.1,1.51,11.64,0.0
2023-03-10,5.11,-2.41,68.4,1.69,15.53,0.0
2023-03-11,3.5,-7.54,49.7,2.28,8.67,0.0
2023-03-12,3.04,-6.63,58.8,2.94,11.86,5.1
2023-03-13,6.35,-2.85,63.4,1.54,19.02,0.0
2023-03-14,8.88,0.54,70.0,1.3,17.02,0.0
2023-03-15,3.06,-6.66,55.6,3.12,10.22,0.0
2023-03-16,7.1,-1.01,50.4,1.46,17.27,0.0
2023-03-17,5.67,-5.62,72.0,3.06,16.65,0.0
