date,tmax,tmin,rh,u2,rs,rain,et0
2022-05-27,34.24,14.46,40.72,2.78,28.7,0.0,8.073290467548489
2022-05-28,35.29,18.9,50.32,4.96,26.62,0.0,8.855286013016919
2022-05-29,34.75,18.7,54.58,5.0,22.75,0.07,7.880477677461666
2022-05-30,31.47,14.02,38.88,2.6,30.67,0.0,7.847937457690753
2022-05-31,35.99,17.5,37.98,5.38,25.73,0.0,10.237557827452132
2022-06-01,34.22,17.38,49.49,2.76,27.65,0.0,7.596167569180319
2022-06-02,36.56,18.83,42.61,1.03,22.92,0.0,5.967551383561567
2022-06-03,37.49,20.75,43.71,3.06,24.85,0.0,8.34876303132624
2022-06-04,34.89,22.2,54.22,2.71,15.14,0.0,5.720792800568405
2022-06-05,35.83,21.93,47.07,2.02,27.3,0.0,7.545837032811413
2022-06-06,30.23,17.93,41.92,3.87,27.97,0.0,8.20334714235165
2022-06-07,31.84,16.03,48.4,1.88,26.09,0.25,6.514219438139389
2022-06-08,35.4,19.03,48.66,3.91,24.51,0.13,8.18002222415069
2022-06-09,28.66,18.39,72.56,1.76,17.69,1.55,4.211595986205636
2022-06-10,28.1,21.11,76.17,1.63,15.84,4.57,3.83857472050987
2022-06-11,33.12,19.54,59.77,2.75,25.13,0.14,6.666969363573623
2022-06-12,30.08,21.7,56.43,3.49,13.84,0.12,5.422253924036543
2022-06-13,34.94,19.97,57.97,2.92,20.63,8.35,6.393487493507164
2022-06-14,29.36,17.81,67.14,1.72,20.89,3.1,4.8979001559015245
2022-06-15,32.87,18.16,57.6,1.49,23.98,0.04,5.858143500748608
2022-06-16,37.28,20.02,55.03,2.5,19.16,2.9,6.3225037511746125
2022-06-17,37.71,22.59,54.62,2.15,23.95,0.62,7.020908466327496
2022-06-18,39.56,24.41,45.18,3.19,20.73,0.36,8.164639496126988
2022-06-19,39.37,23.31,50.46,1.49,23.22,0.68,6.6917457939785
2022-06-20,39.65,24.55,49.17,2.1,23.32,0.0,7.390569155743466
2022-06-21,38.34,25.18,50.78,3.59,23.23,0.0,8.350461074939135
2022-06-22,38.9,24.8,60.88,3.56,22.33,24.12,7.464741184563043
2022-06-23,33.8,24.83,71.0,2.26,25.24,11.23,6.312762665299247
2022-06-24,35.86,22.16,56.95,2.18,28.21,1.63,7.437202892731192
2022-06-25,40.8,23.42,54.04,4.38,23.48,0.0,8.918646078581613
2022-06-26,35.58,27.8,73.68,3.47,15.48,15.43,5.10244643120572
2022-06-27,31.04,23.78,81.09,2.26,10.41,19.67,3.0781901694536113
2022-06-28,32.11,22.48,76.29,1.37,18.74,4.02,4.517058030030086
2022-06-29,30.85,23.31,74.93,1.76,20.48,2.04,4.917095530092882
2022-06-30,30.6,22.16,72.81,0.93,12.35,9.77,3.255323867861266
2022-07-01,31.53,21.15,69.09,1.28,23.58,2.53,5.427422189069084
2022-07-02,32.72,22.68,76.31,1.31,19.83,22.88,4.736183106274337
2022-07-03,29.22,24.14,85.03,1.97,9.52,10.21,2.6382825802090837
2022-07-04,32.38,24.3,83.87,2.1,18.76,15.13,4.441926463961348
2022-07-05,29.21,24.11,87.78,2.12,13.72,10.65,3.2402474339223066
2022-07-06,28.53,22.58,89.25,3.64,9.14,80.47,2.4284940072573233
2022-07-07,32.71,20.96,79.35,1.9,29.02,0.14,6.24229597137843
2022-07-08,33.92,22.23,74.21,3.33,27.67,0.09,6.61252323140531
2022-07-09,34.34,24.63,79.51,1.57,22.05,6.68,5.276800288166571
2022-07-10,26.97,21.33,87.51,2.87,6.93,16.56,2.0878438345511596
2022-07-11,29.47,20.42,87.19,2.1,9.69,29.92,2.508005667453394
2022-07-12,28.96,22.58,90.61,2.2,4.6,37.82,1.5429119305072785
2022-07-13,28.52,21.48,86.54,1.27,10.94,8.31,2.6590212762332506
2022-07-14,32.86,22.52,80.85,1.3,21.58,0.79,4.922255427192853
2022-07-15,34.35,24.16,70.57,0.85,21.65,0.36,5.185307837255268
2022-07-16,30.95,23.44,80.11,2.29,6.0,38.55,2.3815605594778564
2022-07-17,30.74,21.77,78.13,1.85,24.48,7.32,5.389198508142066
2022-07-18,33.45,22.48,71.6,1.22,22.29,0.27,5.289240045006823
2022-07-19,31.16,23.73,71.28,0.94,6.62,0.72,2.3078429448275632
2022-07-20,29.51,20.52,80.29,1.15,8.48,5.66,2.3956034571799245
2022-07-21,31.12,20.05,76.63,1.17,25.73,0.15,5.492451998747665
2022-07-22,30.44,22.16,83.36,1.76,13.97,24.9,3.412368495747958
2022-07-23,28.66,21.44,79.52,2.69,20.38,12.92,4.588985091961479
2022-07-24,32.47,20.11,78.78,2.81,27.7,0.79,5.9909521068562
2022-07-25,31.87,21.9,80.61,3.05,24.25,0.53,5.412228552189427
2022-07-26,31.93,23.64,80.9,1.41,19.78,11.91,4.584220158522189
2022-07-27,32.03,23.77,79.55,0.84,22.77,5.54,5.094501217177202
2022-07-28,27.32,22.44,87.96,1.51,8.73,24.3,2.2417837204131494
2022-07-29,30.54,21.7,84.35,1.27,19.38,2.39,4.248304099603689
2022-07-30,31.81,23.79,83.93,1.31,18.46,3.35,4.241835909928483
2022-07-31,32.26,23.6,80.4,1.14,22.69,1.04,5.0991474788614495
2022-08-01,33.72,24.78,76.56,0.9,22.79,0.02,5.285506120834918
2022-08-02,33.76,25.8,79.23,1.77,18.98,0.46,4.733056676814901
2022-08-03,34.5,25.91,80.24,2.22,22.47,0.13,5.455729595476452
2022-08-04,34.97,26.94,79.95,2.75,23.22,0.01,5.765996384285987
2022-08-05,35.95,26.71,79.54,2.81,23.55,2.02,5.921297641949222
2022-08-06,34.91,26.43,79.71,3.08,22.2,0.54,5.606870157749538
2022-08-07,31.4,26.99,85.74,2.96,12.62,0.23,3.3730120886267945
2022-08-08,32.56,23.13,88.42,2.2,6.79,23.27,2.0734458214867795
2022-08-09,26.37,20.75,88.54,3.26,4.82,23.18,1.7203405106317944
2022-08-10,28.94,19.7,82.5,1.28,4.91,5.0,1.7292819326994573
2022-08-11,28.58,23.37,88.55,1.7,13.09,12.29,3.0019907946687927
2022-08-12,34.08,24.97,84.44,1.91,18.73,5.59,4.465567125794446
2022-08-13,32.68,26.61,86.29,1.56,16.2,5.21,3.8876730328809606
2022-08-14,35.3,25.92,84.15,3.16,16.18,3.32,4.256251692662679
2022-08-15,34.96,25.3,78.64,1.99,12.51,0.23,3.6451684357060117
2022-08-16,31.7,22.33,74.86,1.92,22.57,0.0,5.216370383670586
2022-08-17,32.33,22.5,77.39,1.99,23.38,0.0,5.320013591492438
2022-08-18,32.57,24.15,83.6,3.74,17.53,0.02,4.325051067729511
2022-08-19,31.01,23.83,84.57,2.58,9.78,10.56,2.800878598497167
2022-08-20,29.65,21.97,75.43,2.4,19.13,0.01,4.573249780753915
2022-08-21,32.41,21.49,78.53,3.02,21.97,0.02,5.122086679087599
2022-08-22,31.86,24.34,83.77,4.22,6.34,7.12,2.6254088643594273
2022-08-23,28.6,19.18,73.27,2.96,24.66,0.54,5.32568187482161
2022-08-24,27.81,16.8,67.72,1.05,19.94,0.18,4.216925103543603
2022-08-25,29.06,19.7,75.12,1.29,12.48,1.65,3.1448614152773686
2022-08-26,30.38,17.21,72.14,1.78,21.26,1.74,4.693799719626991
2022-08-27,26.8,14.54,70.79,2.01,20.35,0.74,4.285057525048453
2022-08-28,20.89,15.87,83.97,1.56,4.04,27.8,1.4273936038251378
2022-08-29,25.68,15.82,83.36,1.24,9.29,1.93,2.214570986608814
2022-08-30,25.56,18.19,82.53,1.16,14.04,4.11,2.9748123266309476
2022-08-31,29.71,16.12,76.36,1.36,22.41,0.2,4.533990616905632
2022-09-01,30.06,18.46,70.97,1.36,22.72,0.0,4.831047750333038
2022-09-02,28.43,19.25,77.64,1.77,21.89,0.0,4.522091956067471
2022-09-03,26.02,17.41,66.02,1.06,13.44,0.05,3.1961757110739675
2022-09-04,29.37,17.83,64.8,0.8,20.59,0.0,4.316107108212569
2022-09-05,29.44,18.68,72.6,2.08,21.55,0.0,4.727771785702898
2022-09-06,29.94,17.02,57.85,1.68,23.33,0.0,5.272616770886388
2022-09-07,30.73,15.8,51.76,0.93,23.94,0.0,5.017902633528632
2022-09-08,28.29,15.59,68.89,1.84,19.35,0.0,4.254065407202055
2022-09-09,29.89,16.7,68.34,1.47,13.0,0.0,3.3883000057827033
2022-09-10,29.23,18.6,65.71,0.83,16.58,0.0,3.689895594121978
2022-09-11,29.34,19.53,68.22,1.06,18.99,0.0,4.147217837396162
2022-09-12,30.31,18.69,71.51,0.95,19.88,0.0,4.204812073715084
2022-09-13,29.31,18.22,72.16,2.28,18.98,0.0,4.351855753016241
2022-09-14,27.25,16.2,81.69,3.1,13.11,0.33,3.0509872777896128
2022-09-15,27.52,18.54,80.77,4.3,8.88,1.07,2.8442641963597874
2022-09-16,28.81,17.37,76.79,2.21,20.58,0.42,4.2699262204171005
2022-09-17,30.18,17.25,73.31,1.74,17.6,0.05,3.966674492738411
2022-09-18,30.83,17.94,71.04,2.05,19.02,0.0,4.40213406336474
2022-09-19,26.68,15.66,63.11,2.94,19.69,0.0,4.673167199357046
2022-09-20,24.75,14.99,62.49,1.2,12.08,0.01,2.944681343982005
2022-09-21,26.82,13.02,62.65,2.67,20.1,0.01,4.5268550055916625
2022-09-22,29.14,14.16,56.44,3.58,19.63,0.0,5.429597749476537
2022-09-23,23.44,7.95,42.25,2.66,22.52,0.0,5.010818757174476
2022-09-24,23.29,10.14,55.74,2.54,14.46,0.0,3.764820242122115
2022-09-25,27.44,10.7,59.37,3.02,19.75,0.0,4.698901207265446
2022-09-26,27.98,12.03,63.95,2.2,19.48,0.0,4.258733843823544
2022-09-27,28.1,13.61,70.87,1.72,15.7,0.0,3.460797965218987
2022-09-28,28.71,15.53,62.02,2.59,18.02,0.0,4.50300423781199
2022-09-29,30.75,14.95,63.42,3.01,17.34,0.0,4.682131310306542
2022-09-30,29.93,16.08,69.64,3.5,16.79,0.0,4.374412556878985
2022-10-01,25.49,19.21,89.84,2.78,2.28,58.37,1.1806018941133771
2022-10-02,26.03,19.69,88.91,1.68,3.93,30.69,1.3270138479436304
2022-10-03,23.54,10.78,89.67,4.3,2.18,52.67,1.1828518828288948
2022-10-04,12.85,8.11,65.69,3.67,9.08,0.14,2.382301594716325
2022-10-05,15.2,5.48,69.92,1.31,9.83,0.79,1.8619093363061434
2022-10-06,15.38,6.59,75.95,1.36,6.05,0.01,1.4556123938776493
2022-10-07,19.56,5.39,79.7,2.54,17.05,0.0,2.5443119765414486
2022-10-08,20.03,8.34,80.73,3.59,12.6,0.87,2.3206954991910758
2022-10-09,16.01,5.39,53.88,4.95,18.75,0.25,3.798762861327161
2022-10-10,16.63,1.35,54.67,2.37,19.22,1.05,3.1053780954128354
2022-10-11,20.01,3.27,56.88,1.58,18.35,0.0,3.0472549389978885
2022-10-12,18.0,4.14,65.66,2.37,14.48,0.0,2.6241147473835413
2022-10-13,17.9,7.49,79.53,1.83,10.76,0.0,1.910885026364621
2022-10-14,20.95,8.54,74.24,1.27,7.2,0.0,1.7441335844866375
2022-10-15,23.08,10.02,72.57,1.19,11.3,0.0,2.261446607273447
2022-10-16,21.84,7.54,73.23,2.64,8.11,0.0,2.2066184724562206
2022-10-17,16.07,3.69,55.62,2.8,18.09,0.0,3.0892904463580027
2022-10-18,18.41,0.94,55.53,1.98,17.4,0.0,2.8898291620687884
2022-10-19,20.03,3.26,59.27,2.99,15.99,0.0,3.1767464003360826
2022-10-20,19.97,5.46,70.27,3.64,12.45,0.0,2.6586458368958095
2022-10-21,21.57,8.3,74.83,2.04,12.53,0.0,2.3608289916519474
2022-10-22,22.0,9.16,68.66,2.45,14.01,0.0,2.830462585643229
2022-10-23,21.81,6.88,72.5,1.17,14.77,0.0,2.377963618002086
2022-10-24,22.52,6.82,66.5,2.07,13.86,0.0,2.735497701448277
2022-10-25,22.21,9.17,67.18,3.54,12.18,0.0,3.0188141872444674
2022-10-26,19.3,10.5,77.04,2.66,7.97,0.0,1.9464597136141348
2022-10-27,19.64,7.73,78.07,2.47,10.65,0.0,2.017603884382819
2022-10-28,17.8,6.14,76.75,1.44,10.2,0.0,1.7424774396565652
2022-10-29,19.4,7.06,77.34,1.22,8.04,0.0,1.5836486594289163
2022-10-30,18.83,8.74,78.19,1.78,6.77,0.0,1.58304119994083
2022-10-31,18.37,6.89,71.04,1.9,8.99,0.0,1.916581671040743
2022-11-01,18.9,3.13,55.48,1.76,13.14,0.0,2.4865289128746797
2022-11-02,19.52,5.96,67.93,2.99,10.57,0.03,2.41311516563722
2022-11-03,12.72,6.64,83.89,2.65,5.68,0.14,1.2037749105490745
2022-11-04,13.84,2.19,65.12,1.27,11.95,0.0,1.7414203447586605
2022-11-05,17.08,2.58,65.42,2.37,12.01,0.0,2.1821718204631706
2022-11-06,17.88,5.71,71.69,3.67,6.56,0.0,2.0337624466536313
2022-11-07,17.17,5.68,70.87,2.02,10.48,0.0,1.9169674344579841
2022-11-08,18.19,5.06,68.0,1.35,9.46,0.01,1.7670825484738717
2022-11-09,16.74,10.71,89.38,2.25,5.88,0.02,1.1563062205834334
2022-11-10,20.06,9.82,87.01,0.91,4.03,0.72,1.0118180688188967
2022-11-11,20.6,11.65,88.75,1.71,6.23,0.37,1.2630962164137256
2022-11-12,14.24,4.54,78.08,4.6,4.26,11.62,1.5187387810879354
2022-11-13,9.35,0.25,65.45,2.05,9.43,0.0,1.5039943198093877
2022-11-14,14.34,1.37,68.53,2.43,11.43,0.0,1.8283810575424482
2022-11-15,17.18,0.91,68.25,1.76,12.6,0.0,1.8732264378468773
2022-11-16,13.49,2.83,79.42,2.62,8.57,0.0,1.3847697019543317
2022-11-17,17.91,3.53,73.99,2.22,10.41,0.0,1.779473506483542
2022-11-18,17.02,5.37,82.0,1.2,4.96,0.25,1.083942726711923
2022-11-19,16.07,7.12,83.53,1.11,6.68,0.55,1.1515576266433605
2022-11-20,16.72,5.66,85.14,1.64,4.73,0.02,1.048894137972185
2022-11-21,14.06,7.26,85.74,2.75,1.39,1.75,0.9230672684183121
2022-11-22,12.2,5.28,82.02,2.09,3.55,5.38,1.0116055535725208
2022-11-23,15.8,1.81,82.48,2.12,8.54,0.03,1.2742329636894245
2022-11-24,18.53,6.11,81.72,4.51,10.1,0.05,1.7666746528344048
2022-11-25,16.96,5.01,70.26,3.1,10.46,0.0,2.015874339100179
2022-11-26,9.12,-1.21,54.74,3.38,10.69,0.0,1.9700670398593503
2022-11-27,9.32,4.18,92.52,2.6,1.78,2.11,0.5949600523099532
2022-11-28,8.57,2.57,85.16,4.13,3.07,6.06,0.8956007118791942
2022-11-29,1.05,-7.08,37.23,6.24,5.09,0.0,2.024446535577608
2022-11-30,-2.26,-8.41,40.91,2.6,11.26,0.0,1.3037623656846675
2022-12-01,2.06,-5.69,59.66,1.27,11.63,0.0,1.0431666635359853
2022-12-02,4.84,-4.57,61.28,3.85,8.93,0.0,1.4609785689795491
2022-12-03,3.11,-3.53,63.21,3.06,7.47,0.0,1.2415036933093415
2022-12-04,0.8,-4.9,60.39,2.0,7.94,0.0,1.0445366682028656
2022-12-05,5.43,-3.21,62.79,1.18,9.73,0.0,1.07042256120205
2022-12-06,7.05,-3.99,67.79,1.35,9.19,0.0,1.0586685558740165
2022-12-07,8.88,-2.59,80.54,1.62,7.15,0.0,0.905231166153821
2022-12-08,8.91,-1.2,90.6,1.22,5.35,0.0,0.6758468693429716
2022-12-09,9.07,-0.19,89.57,0.88,3.54,0.0,0.6233610230775255
2022-12-10,3.68,-4.69,64.37,4.25,9.41,0.0,1.3517169854663196
2022-12-11,4.44,-5.16,55.1,1.67,11.12,0.0,1.230395962702785
2022-12-12,5.4,-3.46,52.96,2.87,10.26,0.0,1.5869118844981054
2022-12-13,2.89,-4.83,49.14,3.76,11.38,0.0,1.6685365786152688
2022-12-14,5.25,-8.72,51.87,3.51,10.96,0.0,1.5906552525517006
2022-12-15,3.57,-5.41,60.66,3.94,8.93,0.0,1.383718901816318
2022-12-16,-0.2,-7.28,62.49,1.79,5.7,0.0,0.8489957395499257
2022-12-17,-2.0,-12.3,45.58,3.76,11.79,0.0,1.2685496783130974
